pair,strategy,accuracy,transactions,totol,annual,sharp
002516&300180,garch+model,0.532608695652174,"[(0.01188742677767809, '2016-01-04', '2016-01-05', 'l'), (0.020487557890693977, '2016-01-11', '2016-01-27', 'l'), (0.0015886037168391901, '2016-02-23', '2016-03-01', 'l'), (-0.3175170551682297, '2016-03-07', '2016-12-30', 'l')]",-0.2941359056445577,-0.3334149241001974,-1.1515731627191472
000933&600508,history+,0.4897119341563786,"[(0.10066511269762166, '2016-01-15', '2016-04-21', 'l')]",0.10066511269762168,0.37879140344981355,9.892998075917703
000933&600508,garch+,0.4897119341563786,"[(0.026112384320239063, '2016-01-05', '2016-01-11', 'l'), (0.041538033056232354, '2016-01-12', '2016-04-21', 'l'), (0.0098041344838975374, '2016-05-10', '2016-06-23', 'l'), (0.023471663003461169, '2016-07-04', '2016-07-22', 'l'), (0.015275228894272186, '2016-07-28', '2016-08-02', 'l'), (-0.0043795011604904101, '2016-08-11', '2016-10-27', 'l'), (-0.0038446452033125563, '2016-11-11', '2016-11-30', 'l'), (0.027541810503465332, '2016-12-06', '2016-12-27', 'l')]",0.14284471941666066,0.17978731926579705,0.5792605357111641
000933&600508,history+model,0.4897119341563786,"[(0.10066511269762166, '2016-01-15', '2016-04-21', 'l')]",0.10066511269762168,0.37879140344981355,9.892998075917703
000933&600508,garch+model,0.4897119341563786,"[(0.026112384320239063, '2016-01-05', '2016-01-11', 'l'), (0.041538033056232354, '2016-01-12', '2016-04-21', 'l'), (0.0098041344838975374, '2016-05-10', '2016-06-23', 'l'), (0.023471663003461169, '2016-07-04', '2016-07-22', 'l'), (0.015275228894272186, '2016-07-28', '2016-08-02', 'l'), (-0.0043795011604904101, '2016-08-11', '2016-10-27', 'l'), (-0.0038446452033125563, '2016-11-11', '2016-11-30', 'l'), (0.027541810503465332, '2016-12-06', '2016-12-27', 'l')]",0.14284471941666066,0.17978731926579705,0.5792605357111641
601288&601939,history+,0.5327868852459017,"[(0.020453906826628957, '2016-01-15', '2016-11-25', 'l')]",0.020453906826628954,0.023700558703871645,0.6427995476565584
601288&601939,garch+,0.5327868852459017,"[(0.013572236187485241, '2016-01-12', '2016-11-25', 'l')]",0.013572236187485265,0.015578195624000384,0.423938494074072
601288&601939,history+model,0.5327868852459017,"[(0.020453906826628957, '2016-01-15', '2016-11-25', 'l')]",0.020453906826628954,0.023700558703871645,0.6427995476565584
601288&601939,garch+model,0.5327868852459017,"[(0.013572236187485241, '2016-01-12', '2016-11-25', 'l')]",0.013572236187485265,0.015578195624000384,0.423938494074072
000686&601688,history+,0.4957983193277311,"[(0.039665941817844871, '2016-01-19', '2016-02-15', 'l'), (-0.033123224457037873, '2016-04-20', '2016-12-30', 'l')]",0.005228853466674677,0.006791927100840772,0.039329912497146256
000686&601688,garch+,0.4957983193277311,"[(0.018040353809582028, '2016-01-12', '2016-02-15', 'l'), (0.013021482894486052, '2016-02-19', '2016-02-24', 'l'), (-0.074442890976891177, '2016-02-26', '2016-12-30', 'l')]",-0.04547596257779141,-0.04783494622735983,-0.32334021185068257
000686&601688,history+model,0.4957983193277311,"[(0.039665941817844871, '2016-01-19', '2016-02-15', 'l'), (-0.033123224457037873, '2016-04-20', '2016-12-30', 'l')]",0.005228853466674677,0.006791927100840772,0.039329912497146256
000686&601688,garch+model,0.4957983193277311,"[(0.018040353809582028, '2016-01-12', '2016-02-15', 'l'), (0.013021482894486052, '2016-02-19', '2016-02-24', 'l'), (-0.074442890976891177, '2016-02-26', '2016-12-30', 'l')]",-0.04547596257779141,-0.04783494622735983,-0.32334021185068257
002268&600571,history+,0.5214723926380368,"[(-0.0089710137052929576, '2016-02-01', '2016-12-30', 'l')]",-0.008971013705292963,-0.009833093100396189,-0.27061182005794215
002268&600571,garch+,0.5214723926380368,"[(0.027429028248030663, '2016-01-05', '2016-01-13', 'l'), (0.040743056708532698, '2016-01-22', '2016-01-26', 'l'), (-0.017932943565265626, '2016-01-29', '2016-12-30', 'l')]",0.05011411686666656,0.05256222027681981,0.1187637841557456
002268&600571,history+model,0.5214723926380368,"[(-0.0089710137052929576, '2016-02-01', '2016-12-30', 'l')]",-0.008971013705292963,-0.009833093100396189,-0.27061182005794215
002268&600571,garch+model,0.5214723926380368,"[(0.027429028248030663, '2016-01-05', '2016-01-13', 'l'), (0.040743056708532698, '2016-01-22', '2016-01-26', 'l'), (-0.017932943565265626, '2016-01-29', '2016-12-30', 'l')]",0.05011411686666656,0.05256222027681981,0.1187637841557456
